algorithm,scenario,episode,steps,reward_mean_average,reward_sum_total,source
MAAC,E2,37,8760,-0.5337243877654989,-79482.23582603809,Drive results.json episode_summaries
MAAC,E2,38,8747,-0.5121687385546526,-76158.9792543383,Drive results.json episode_summaries
MAAC,E2,39,8760,-0.5113138028926756,-76144.85152677725,Drive results.json episode_summaries
MAAC,E2,40,8760,-0.527322446093089,-78528.8586721828,Drive results.json episode_summaries
MAAC,E2,41,8760,-0.5338977307367767,-79508.05006132078,Drive results.json episode_summaries
MAAC,E2,42,8760,-0.511683208330953,-76199.86338464553,Drive results.json episode_summaries
MAAC,E2,43,8760,-0.5273705245676006,-78536.01851860707,Drive results.json episode_summaries
MAAC,E2,44,8760,-0.5334308310822081,-79438.51936476244,Drive results.json episode_summaries
MAAC,E2,45,8760,-0.5117561754689337,-76210.72965083361,Drive results.json episode_summaries
MAAC,E2,46,8760,-0.5275272757788116,-78559.36190898062,Drive results.json episode_summaries
MAAC,E2,47,8760,-0.5336676285194848,-79473.78323912168,Drive results.json episode_summaries
MAAC,E2,48,8760,-0.5119776707619665,-76243.71472987205,Drive results.json episode_summaries
MAAC,E2,49,8749,-0.5277731741774441,-78497.28751493379,Drive results.json episode_summaries
MAAC,E3,0,8760,-0.525818035216677,-78304.82180446755,Drive results.json episode_summaries
MAAC,E3,1,8760,-0.5425975139470239,-80803.62177699081,Drive results.json episode_summaries
MAAC,E3,2,8760,-0.5510281711066376,-82059.11524120046,Drive results.json episode_summaries
MAAC,E3,3,8760,-0.5260876935436103,-78344.97932251444,Drive results.json episode_summaries
MAAC,E3,4,8760,-0.5425519251002843,-80796.83268593434,Drive results.json episode_summaries
MAAC,E3,5,8760,-0.5505331295172755,-81985.39364771267,Drive results.json episode_summaries
MAAC,E3,6,8760,-0.5260514475888374,-78339.58157492966,Drive results.json episode_summaries
MAAC,E3,7,8752,-0.5421176230138837,-80658.42842249767,Drive results.json episode_summaries
MAAC,E3,8,8760,-0.5253566748558218,-78236.11601952898,Drive results.json episode_summaries
MAAC,E3,9,8760,-0.5422440283811623,-80750.98070652268,Drive results.json episode_summaries
MAAC,E3,10,8757,-0.5510442571089145,-82033.40751154699,Drive results.json episode_summaries
MAAC,E3,11,8760,-0.5253977795300546,-78242.23732761573,Drive results.json episode_summaries
MAAC,E3,12,8760,-0.5420738763785914,-80725.64167029984,Drive results.json episode_summaries
MAAC,E3,13,8760,-0.5508915368807321,-82038.76767227863,Drive results.json episode_summaries
MAAC,E3,14,8760,-0.5256124991211116,-78274.21336911595,Drive results.json episode_summaries
MAAC,E3,15,8760,-0.5420700849126654,-80725.07704519414,Drive results.json episode_summaries
MAAC,E3,16,8760,-0.5502501850474886,-81943.257557272,Drive results.json episode_summaries
