algorithm,scenario,episodes,kpi,value,gain,improved
MATD3,E1,50,electricity_cost_daily_average_delta,180.75576132367343,-180.75576132367343,False
MATD3,E1,50,electricity_cost_delta,33074.53857720466,-33074.53857720466,False
MATD3,E1,50,ev_charge_total,154012.73039302416,,
MATD3,E1,50,ev_departure_count,39682.0,,
MATD3,E1,50,ev_departure_met_count,17435.0,,
MATD3,E1,50,ev_departure_soc_deficit_mean,0.3150071212508084,0.6849928787491917,True
MATD3,E1,50,ev_departure_success_rate,0.4393679754044655,,
MATD3,E1,50,ev_departure_within_tolerance_count,624.0,,
MATD3,E1,50,ev_departure_within_tolerance_rate,0.0157250138601885,,
MATD3,E1,50,ev_v2g_export_total,29656.91909918259,,
MATD3,E1,50,grid_export_baseline,39352684.03644943,,
MATD3,E1,50,grid_export_control,39321485.62116025,,
MATD3,E1,50,grid_export_delta,-15641.950079056976,15641.950079056976,True
MATD3,E1,50,grid_export_ratio,0.9992072099768268,0.0007927900231732288,True
MATD3,E1,50,grid_import,1.0395562335067712,-0.03955623350677118,False
MATD3,E1,50,grid_import_baseline,13204978.475624084,,
MATD3,E1,50,grid_import_control,13294323.972622547,,
MATD3,E1,50,grid_import_delta,44795.15356419106,-44795.15356419106,False
MATD3,E1,50,net_exchange_baseline,-26147705.560825348,,
MATD3,E1,50,net_exchange_control,-26027161.6485377,,
MATD3,E1,50,net_exchange_delta,60437.10364324804,-60437.10364324804,False
MATD3,E1,50,one_minus_load_factor_average,0.9934690566529493,0.006530943347050733,True
MATD3,E1,50,peak_average,1.0081243650776304,-0.008124365077630369,False
MATD3,E1,50,price_signal_deviation,0.3844033689016431,0.6155966310983569,True
MATD3,E1,50,price_signal_deviation_baseline,0.38332228773988963,,
MATD3,E1,50,price_signal_deviation_delta,0.0010810811617534832,-0.0010810811617534832,False
MATD3,E1,50,price_signal_deviation_ratio,1.0028202929919041,-0.0028202929919041164,False
MATD3,E1,50,pv_export_daily_average,110898.61026130983,,
MATD3,E1,50,pv_export_total,40473371.969950534,,
MATD3,E1,50,pv_generation_daily_average,135731.8379158463,,
MATD3,E1,50,pv_generation_total,49536465.346037395,,
