algorithm,scenario,axis,kpi,value,baseline,delta_vs_baseline,improved_vs_baseline,lower_is_better,available,source,run_path
MAAC,E3,OE1,ev_departure_count,39682.0,,,,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E3
MAAC,E3,OE1,ev_departure_met_count,1610.0,,,,False,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E3
MAAC,E3,OE1,ev_departure_soc_deficit_mean,0.5008684875193997,,,,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E3
MAAC,E3,OE1,ev_departure_success_rate,0.0405725517867043,,,,False,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E3
MAAC,E3,OE1,ev_departure_within_tolerance_count,529.0,,,,False,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E3
MAAC,E3,OE1,ev_departure_within_tolerance_rate,0.0133309813013456,,,,False,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E3
MAAC,E3,OE1,ev_v2g_export_total,3677.922525198199,,,,False,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E3
MAAC,E3,OE1,grid_export_baseline,39642599.684288025,,,,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E3
MAAC,E3,OE1,grid_export_control,39633783.8457522,39642599.684288025,-8815.838535830379,True,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E3
MAAC,E3,OE1,grid_export_delta,-4419.997137812434,0.0,-4419.997137812434,True,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E3
MAAC,E3,OE1,grid_export_ratio,0.9997776170431294,1.0,-0.0002223829568706,True,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E3
MAAC,E3,OE1,grid_import,1.0431945249019292,1.0,0.0431945249019292,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E3
MAAC,E3,OE1,grid_import_baseline,12472092.516483309,,,,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E3
MAAC,E3,OE1,grid_import_control,12513578.442847416,12472092.516483309,41485.92636410892,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E3
MAAC,E3,OE1,grid_import_delta,20799.799706357386,0.0,20799.799706357386,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E3
MAAC,E3,OE1,net_exchange_baseline,-27170507.16780472,,,,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E3
MAAC,E3,OE1,net_exchange_control,-27120205.40290478,-27170507.16780472,50301.7648999393,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E3
MAAC,E3,OE1,net_exchange_delta,25219.796844169818,0.0,25219.796844169818,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E3
MAAC,E3,OE1,one_minus_load_factor_average,0.9914670028561496,1.0,-0.0085329971438503,True,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E3
MAAC,E3,OE1,peak_average,1.0309261417946909,1.0,0.0309261417946908,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E3
MAAC,E3,OE1,pv_export_daily_average,111708.71116338148,,,,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E3
MAAC,E3,OE1,pv_export_total,40769025.04500243,,,,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E3
MAAC,E3,OE1,pv_generation_daily_average,136095.6394630498,,,,False,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E3
